Time/min,K-with epifluidics (predicted)
50.016666,9.974239349365234
50.033333,9.98214054107666
50.05,9.983747482299805
50.066666,9.989033699035645
50.083332,9.994813919067383
50.1,9.997676849365234
50.116665,10.006755828857422
50.133335,10.005229949951172
50.15,10.006758689880371
50.166668,10.009909629821777
50.183334,10.010308265686035
50.2,10.008846282958984
50.216667,10.016000747680664
50.233334,10.020962715148926
50.25,10.018820762634277
50.266666,10.023486137390137
50.283333,10.026812553405762
50.3,10.022418975830078
50.316666,10.030145645141602
50.333332,10.028059005737305
50.35,10.030623435974121
50.366665,10.03182601928711
50.383335,10.03329086303711
50.4,10.038856506347656
50.416668,10.045348167419434
50.433334,10.049016952514648
50.45,10.053385734558105
50.466667,10.053603172302246
50.483334,10.05312728881836
50.5,10.060905456542969
50.516666,10.06280517578125
50.533333,10.070162773132324
50.55,10.077881813049316
50.566666,10.087574005126953
50.583332,10.089542388916016
50.6,10.092259407043457
50.616665,10.09992504119873
50.633335,10.099722862243652
50.65,10.108783721923828
50.666668,10.098691940307617
50.683334,10.09777545928955
50.7,10.093931198120117
50.716667,10.095416069030762
50.733334,10.094110488891602
50.75,10.099874496459961
50.766666,10.104581832885742
50.783333,10.097724914550781
50.8,10.099119186401367
50.816666,10.100231170654297
50.833332,10.092886924743652
50.85,10.100889205932617
50.866665,10.09653377532959
50.883335,10.100282669067383
50.9,10.098142623901367
50.916668,10.097480773925781
50.933334,10.10368537902832
50.95,10.114368438720703
50.966667,10.109572410583496
50.983334,10.112421035766602
51.0,10.114106178283691
51.016666,10.108670234680176
51.033333,10.120659828186035
51.05,10.119576454162598
51.066666,10.123302459716797
51.083332,10.128928184509277
51.1,10.133922576904297
51.116665,10.130525588989258
51.133335,10.130660057067871
51.15,10.136388778686523
51.166668,10.135679244995117
51.183334,10.140264511108398
51.2,10.1368408203125
51.216667,10.141602516174316
51.233334,10.139102935791016
51.25,10.139132499694824
51.266666,10.134777069091797
51.283333,10.137961387634277
51.3,10.142284393310547
51.316666,10.134744644165039
51.333332,10.137524604797363
51.35,10.139105796813965
51.36667,10.133933067321777
51.383335,10.141494750976562
51.4,10.135823249816895
51.416668,10.13951587677002
51.433334,10.132442474365234
51.45,10.12966251373291
51.466667,10.132862091064453
51.483334,10.133345603942871
51.5,10.133991241455078
51.516666,10.135675430297852
51.533333,10.137001037597656
51.55,10.12801456451416
51.566666,10.13456916809082
51.583332,10.132192611694336
51.6,10.133848190307617
51.61667,10.137199401855469
51.633335,10.137128829956055
51.65,10.140203475952148
51.666668,10.140786170959473
51.683334,10.140543937683105
51.7,10.142962455749512
51.716667,10.145038604736328
51.733334,10.145707130432129
51.75,10.150609970092773
51.766666,10.151884078979492
51.783333,10.151076316833496
51.8,10.156681060791016
51.816666,10.156696319580078
51.833332,10.159147262573242
51.85,10.16275691986084
51.86667,10.16350269317627
51.883335,10.164796829223633
51.9,10.166170120239258
51.916668,10.16768741607666
51.933334,10.16905403137207
51.95,10.172396659851074
51.966667,10.172082901000977
51.983334,10.17451286315918
52.0,10.175882339477539
52.016666,10.174131393432617
52.033333,10.177680969238281
52.05,10.177169799804688
52.066666,10.180070877075195
52.083332,10.178389549255371
52.1,10.180487632751465
52.11667,10.179464340209961
52.133335,10.18032455444336
52.15,10.182254791259766
52.166668,10.181888580322266
52.183334,10.184576988220215
52.2,10.184292793273926
52.216667,10.183568000793457
52.233334,10.184661865234375
52.25,10.185785293579102
52.266666,10.185827255249023
52.283333,10.188385009765625
52.3,10.189403533935547
52.316666,10.188278198242188
52.333332,10.19180679321289
52.35,10.191337585449219
52.36667,10.19243335723877
52.383335,10.195184707641602
52.4,10.194594383239746
52.416668,10.196793556213379
52.433334,10.196757316589355
52.45,10.198332786560059
52.466667,10.20005989074707
52.483334,10.201824188232422
52.5,10.201828956604004
52.516666,10.204246520996094
52.533333,10.204894065856934
52.55,10.204202651977539
52.566666,10.20750617980957
52.583332,10.20665168762207
52.6,10.209308624267578
52.61667,10.209707260131836
52.633335,10.211004257202148
52.65,10.211607933044434
52.666668,10.211694717407227
52.683334,10.213030815124512
52.7,10.213147163391113
52.716667,10.215201377868652
52.733334,10.214829444885254
52.75,10.216060638427734
52.766666,10.216813087463379
52.783333,10.216595649719238
52.8,10.217905044555664
52.816666,10.218596458435059
52.833332,10.219545364379883
52.85,10.21961498260498
52.86667,10.220725059509277
52.883335,10.221073150634766
52.9,10.221711158752441
52.916668,10.223508834838867
52.933334,10.223067283630371
52.95,10.225495338439941
52.966667,10.225010871887207
52.983334,10.226086616516113
53.0,10.227469444274902
53.016666,10.228097915649414
53.033333,10.229260444641113
53.05,10.230903625488281
53.066666,10.231820106506348
53.083332,10.232011795043945
53.1,10.234475135803223
53.11667,10.23415756225586
53.133335,10.236034393310547
53.15,10.237655639648438
53.166668,10.23812484741211
53.183334,10.240144729614258
53.2,10.24059009552002
53.216667,10.241677284240723
53.233334,10.243038177490234
53.25,10.244311332702637
53.266666,10.244863510131836
53.283333,10.246906280517578
53.3,10.24746322631836
53.316666,10.247909545898438
53.333332,10.249918937683105
53.35,10.249959945678711
53.36667,10.251514434814453
53.383335,10.25257682800293
53.4,10.253060340881348
53.416668,10.254371643066406
53.433334,10.25477123260498
53.45,10.255934715270996
53.466667,10.256505012512207
53.483334,10.257935523986816
53.5,10.258216857910156
53.516666,10.259392738342285
53.533333,10.260085105895996
53.55,10.260526657104492
53.566666,10.261911392211914
53.583332,10.262409210205078
53.6,10.26367473602295
53.61667,10.26406192779541
53.633335,10.265344619750977
53.65,10.265625
53.666668,10.266765594482422
53.683334,10.267810821533203
53.7,10.268355369567871
53.716667,10.269948959350586
53.733334,10.270257949829102
53.75,10.271316528320312
53.766666,10.272375106811523
53.783333,10.273078918457031
53.8,10.274104118347168
53.816666,10.275312423706055
53.833332,10.276105880737305
53.85,10.276816368103027
53.86667,10.278348922729492
53.883335,10.278608322143555
53.9,10.280031204223633
53.916668,10.281000137329102
53.933334,10.281550407409668
53.95,10.283092498779297
53.966667,10.283390998840332
53.983334,10.284591674804688
54.0,10.28549861907959
54.016666,10.286436080932617
54.033333,10.28719711303711
54.05,10.288389205932617
54.066666,10.289094924926758
54.083332,10.289650917053223
54.1,10.291072845458984
