date,step,type,K-with epifluidics
48.4,48.35,历史,9.64688
,48.36667,历史,9.65194
,48.38333,历史,9.65703
,48.4,历史,9.66211
,48.41667,历史,9.66719
,48.43333,历史,9.67229
,48.45,历史,9.67738
,48.46667,历史,9.68248
,48.48333,历史,9.68759
,48.5,历史,9.6927
,48.51667,历史,9.69782
,48.53333,历史,9.70295
,48.55,历史,9.70808
,48.56667,历史,9.71321
,48.58333,历史,9.71835
,48.6,历史,9.7235
48.6,48.61667,历史,9.72865
,48.63333,历史,9.7338
,48.65,历史,9.73897
,48.66667,历史,9.74413
,48.68333,历史,9.74931
,48.7,历史,9.75449
,48.71667,历史,9.75968
,48.73333,历史,9.76487
,48.75,历史,9.77008
,48.76667,历史,9.77528
,48.78333,历史,9.78049
,48.8,历史,9.78571
,48.81667,历史,9.79094
,48.83333,历史,9.79616
,48.85,历史,9.8014
,48.86667,历史,9.80665
48.9,48.88333,历史,9.8119
,48.9,历史,9.81716
,48.91667,历史,9.82242
,48.93333,历史,9.82769
,48.95,历史,9.83297
,48.96667,历史,9.83826
,48.98333,历史,9.84355
,49.0,历史,9.84885
,49.01667,历史,9.85416
,49.03333,历史,9.85948
,49.05,历史,9.8648
,49.06667,历史,9.87013
,49.08333,历史,9.87547
,49.1,历史,9.88082
,49.11667,历史,9.88617
,49.13333,历史,9.89153
49.1,49.15,历史,9.8969
,49.16667,历史,9.90228
,49.18333,历史,9.90766
,49.2,历史,9.91305
,49.21667,历史,9.91845
,49.23333,历史,9.92387
,49.25,历史,9.92928
,49.26667,历史,9.93471
,49.28333,历史,9.94015
,49.3,历史,9.94559
,49.31667,历史,9.95104
,49.33333,历史,9.95651
,49.35,历史,9.96197
,49.36667,历史,9.96745
,49.38333,历史,9.97294
,49.4,历史,9.97844
49.4,49.41667,历史,9.98395
,49.43333,历史,9.98946
,49.45,历史,9.99499
,49.46667,历史,10.00052
,49.48333,历史,10.00607
,49.5,历史,10.01162
,49.51667,历史,10.01719
,49.53333,历史,10.02276
,49.55,历史,10.02835
,49.56667,历史,10.03394
,49.58333,历史,10.03955
,49.6,历史,10.04516
,49.61667,历史,10.05079
,49.63333,历史,10.05642
,49.65,历史,10.06207
,49.66667,历史,10.06773
49.7,49.68333,历史,10.07339
,49.7,历史,10.07907
,49.71667,历史,10.08476
,49.73333,历史,10.09047
,49.75,历史,10.09618
,49.76667,历史,10.1019
,49.78333,历史,10.10763
,49.8,历史,10.11338
,49.81667,历史,10.11914
,49.83333,历史,10.12491
,49.85,历史,10.13069
,49.86667,历史,10.13648
,49.88333,历史,10.14229
,49.9,历史,10.1481
,49.91667,历史,10.15393
,49.93333,历史,10.15977
50.0,49.95,历史,10.16562
,49.96667,历史,10.17149
,49.98333,历史,10.17737
,50.0,历史,10.18326
50.0,50.01667,预测,10.191616
,50.033339999999995,预测,10.197539
,50.05000999999999,预测,10.2047415
,50.06667999999999,预测,10.210641
,50.08334999999999,预测,10.217844
,50.10001999999999,预测,10.22192
,50.116689999999984,预测,10.228374
,50.13335999999998,预测,10.236262
,50.15002999999998,预测,10.241955
,50.16669999999998,预测,10.248729
,50.183369999999975,预测,10.252398
,50.20003999999997,预测,10.25943
,50.21670999999997,预测,10.265957
,50.23337999999997,预测,10.27222
,50.250049999999966,预测,10.277078
,50.266719999999964,预测,10.284024
,50.28338999999996,预测,10.292667
,50.30005999999996,预测,10.294966
,50.31672999999996,预测,10.301327
,50.333399999999955,预测,10.30687
,50.35006999999995,预测,10.313972
,50.36673999999995,预测,10.319777
,50.38340999999995,预测,10.3250265
,50.400079999999946,预测,10.330967
,50.416749999999944,预测,10.335386
,50.43341999999994,预测,10.345626
,50.45008999999994,预测,10.350762
,50.46675999999994,预测,10.358749
,50.483429999999935,预测,10.363959
,50.50009999999993,预测,10.370755
,50.51676999999993,预测,10.374632
,50.53343999999993,预测,10.381898
,50.550109999999925,预测,10.388109
,50.56677999999992,预测,10.39481
,50.58344999999992,预测,10.399412
,50.60011999999992,预测,10.406533
,50.61678999999992,预测,10.411391
,50.633459999999914,预测,10.419588
,50.65012999999991,预测,10.424295
,50.66679999999991,预测,10.429403
,50.68346999999991,预测,10.437346
,50.700139999999905,预测,10.443979
,50.7168099999999,预测,10.450584
,50.7334799999999,预测,10.454565
,50.7501499999999,预测,10.459696
,50.766819999999896,预测,10.467618
,50.783489999999894,预测,10.47289
,50.80015999999989,预测,10.479694
,50.81682999999989,预测,10.485403
,50.83349999999989,预测,10.491613
,50.850169999999885,预测,10.500062
,50.86683999999988,预测,10.504389
,50.88350999999988,预测,10.510984
,50.90017999999988,预测,10.5140705
,50.916849999999876,预测,10.522611
,50.933519999999874,预测,10.526949
,50.95018999999987,预测,10.5351095
,50.96685999999987,预测,10.543359
,50.98352999999987,预测,10.546644
,51.000199999999865,预测,10.552246
,51.01686999999986,预测,10.560268
,51.03353999999986,预测,10.567165
,51.05020999999986,预测,10.570207
,51.066879999999855,预测,10.575793
,51.08354999999985,预测,10.586157
,51.10021999999985,预测,10.588649
,51.11688999999985,预测,10.595964
,51.13355999999985,预测,10.601259
,51.150229999999844,预测,10.6076565
,51.16689999999984,预测,10.612505
,51.18356999999984,预测,10.622313
,51.20023999999984,预测,10.627846
,51.216909999999835,预测,10.635244
,51.23357999999983,预测,10.638686
,51.25024999999983,预测,10.644749
51.3,51.26691999999983,预测,10.651308
,51.283589999999826,预测,10.658833
,51.300259999999824,预测,10.662995
,51.31692999999982,预测,10.6665125
,51.33359999999982,预测,10.676699
,51.35026999999982,预测,10.683279
,51.366939999999815,预测,10.688669
,51.38360999999981,预测,10.693546
,51.40027999999981,预测,10.700348
,51.41694999999981,预测,10.706386
,51.433619999999806,预测,10.713945
,51.450289999999804,预测,10.716635
,51.4669599999998,预测,10.728603
,51.4836299999998,预测,10.730048
,51.5002999999998,预测,10.739988
,51.516969999999795,预测,10.745267
,51.53363999999979,预测,10.748911
,51.55030999999979,预测,10.755034
,51.56697999999979,预测,10.761963
,51.583649999999786,预测,10.76789
,51.60031999999978,预测,10.775264
,51.61698999999978,预测,10.780286
,51.63365999999978,预测,10.785746
,51.65032999999978,预测,10.794279
,51.666999999999774,预测,10.799656
,51.68366999999977,预测,10.807877
,51.70033999999977,预测,10.81279
,51.71700999999977,预测,10.818615
,51.733679999999765,预测,10.826696
,51.75034999999976,预测,10.832683
,51.76701999999976,预测,10.8398
,51.78368999999976,预测,10.843658
,51.800359999999756,预测,10.850418
,51.817029999999754,预测,10.856119
,51.83369999999975,预测,10.864237
,51.85036999999975,预测,10.869036
,51.86703999999975,预测,10.876507
,51.883709999999745,预测,10.888132
,51.90037999999974,预测,10.890184
,51.91704999999974,预测,10.89427
,51.93371999999974,预测,10.90127
,51.950389999999736,预测,10.910079
,51.967059999999734,预测,10.913979
,51.98372999999973,预测,10.92004
,52.00039999999973,预测,10.926689
,52.01706999999973,预测,10.931604
,52.033739999999725,预测,10.941921
,52.05040999999972,预测,10.946478
,52.06707999999972,预测,10.954708
,52.08374999999972,预测,10.96073
,52.100419999999716,预测,10.969014
,52.11708999999971,预测,10.972361
,52.13375999999971,预测,10.980396
,52.15042999999971,预测,10.988505
,52.16709999999971,预测,10.994434
,52.183769999999704,预测,10.999449
,52.2004399999997,预测,11.007727
,52.2171099999997,预测,11.009806
,52.2337799999997,预测,11.021688
,52.250449999999695,预测,11.024594
,52.26711999999969,预测,11.03034
,52.28378999999969,预测,11.039083
,52.30045999999969,预测,11.047888
,52.317129999999686,预测,11.052008
,52.333799999999684,预测,11.057084
,52.35046999999968,预测,11.062222
,52.36713999999968,预测,11.072272
,52.38380999999968,预测,11.0759735
,52.400479999999675,预测,11.084059
,52.41714999999967,预测,11.089641
,52.43381999999967,预测,11.0954895
,52.45048999999967,预测,11.104645
,52.467159999999666,预测,11.108941
,52.483829999999664,预测,11.116804
,52.50049999999966,预测,11.120434
52.5,52.51716999999966,预测,11.12937
,52.53383999999966,预测,11.133572
,52.550509999999655,预测,11.142458
,52.56717999999965,预测,11.151067
,52.58384999999965,预测,11.154077
,52.60051999999965,预测,11.160513
,52.617189999999646,预测,11.169117
,52.63385999999964,预测,11.177125
,52.65052999999964,预测,11.179502
,52.66719999999964,预测,11.186253
,52.68386999999964,预测,11.194853
,52.700539999999634,预测,11.200409
,52.71720999999963,预测,11.207232
,52.73387999999963,预测,11.212233
,52.75054999999963,预测,11.218514
,52.767219999999625,预测,11.224073
,52.78388999999962,预测,11.233032
,52.80055999999962,预测,11.242237
,52.81722999999962,预测,11.248617
,52.833899999999616,预测,11.251706
,52.850569999999614,预测,11.257595
,52.86723999999961,预测,11.268188
,52.88390999999961,预测,11.272288
,52.90057999999961,预测,11.278058
,52.917249999999605,预测,11.282188
,52.9339199999996,预测,11.29261
,52.9505899999996,预测,11.297438
,52.9672599999996,预测,11.304692
,52.983929999999596,预测,11.309589
,53.000599999999594,预测,11.31855
,53.01726999999959,预测,11.32406
,53.03393999999959,预测,11.330571
,53.05060999999959,预测,11.334412
,53.067279999999585,预测,11.347914
,53.08394999999958,预测,11.348951
,53.10061999999958,预测,11.358946
,53.11728999999958,预测,11.364996
,53.133959999999576,预测,11.368795
,53.15062999999957,预测,11.372448
,53.16729999999957,预测,11.3819
,53.18396999999957,预测,11.389385
,53.20063999999957,预测,11.395304
,53.217309999999564,预测,11.401272
,53.23397999999956,预测,11.40726
,53.25064999999956,预测,11.416089
,53.26731999999956,预测,11.421322
,53.283989999999555,预测,11.429983
,53.30065999999955,预测,11.435066
,53.31732999999955,预测,11.441095
,53.33399999999955,预测,11.449844
,53.350669999999546,预测,11.455759
,53.367339999999544,预测,11.46327
,53.38400999999954,预测,11.466812
,53.40067999999954,预测,11.4744
,53.41734999999954,预测,11.480459
,53.434019999999535,预测,11.489153
,53.45068999999953,预测,11.493364
,53.46735999999953,预测,11.501396
,53.48402999999953,预测,11.513615
,53.500699999999526,预测,11.516272
,53.517369999999524,预测,11.519919
,53.53403999999952,预测,11.5271015
,53.55070999999952,预测,11.535822
,53.56737999999952,预测,11.540417
,53.584049999999515,预测,11.54724
