date,step,type,K-with epifluidics
48.4,48.35,历史,9.64688
,48.36667,历史,9.65194
,48.38333,历史,9.65703
,48.4,历史,9.66211
,48.41667,历史,9.66719
,48.43333,历史,9.67229
,48.45,历史,9.67738
,48.46667,历史,9.68248
,48.48333,历史,9.68759
,48.5,历史,9.6927
,48.51667,历史,9.69782
,48.53333,历史,9.70295
,48.55,历史,9.70808
,48.56667,历史,9.71321
,48.58333,历史,9.71835
,48.6,历史,9.7235
48.6,48.61667,历史,9.72865
,48.63333,历史,9.7338
,48.65,历史,9.73897
,48.66667,历史,9.74413
,48.68333,历史,9.74931
,48.7,历史,9.75449
,48.71667,历史,9.75968
,48.73333,历史,9.76487
,48.75,历史,9.77008
,48.76667,历史,9.77528
,48.78333,历史,9.78049
,48.8,历史,9.78571
,48.81667,历史,9.79094
,48.83333,历史,9.79616
,48.85,历史,9.8014
,48.86667,历史,9.80665
48.9,48.88333,历史,9.8119
,48.9,历史,9.81716
,48.91667,历史,9.82242
,48.93333,历史,9.82769
,48.95,历史,9.83297
,48.96667,历史,9.83826
,48.98333,历史,9.84355
,49.0,历史,9.84885
,49.01667,历史,9.85416
,49.03333,历史,9.85948
,49.05,历史,9.8648
,49.06667,历史,9.87013
,49.08333,历史,9.87547
,49.1,历史,9.88082
,49.11667,历史,9.88617
,49.13333,历史,9.89153
49.1,49.15,历史,9.8969
,49.16667,历史,9.90228
,49.18333,历史,9.90766
,49.2,历史,9.91305
,49.21667,历史,9.91845
,49.23333,历史,9.92387
,49.25,历史,9.92928
,49.26667,历史,9.93471
,49.28333,历史,9.94015
,49.3,历史,9.94559
,49.31667,历史,9.95104
,49.33333,历史,9.95651
,49.35,历史,9.96197
,49.36667,历史,9.96745
,49.38333,历史,9.97294
,49.4,历史,9.97844
49.4,49.41667,历史,9.98395
,49.43333,历史,9.98946
,49.45,历史,9.99499
,49.46667,历史,10.00052
,49.48333,历史,10.00607
,49.5,历史,10.01162
,49.51667,历史,10.01719
,49.53333,历史,10.02276
,49.55,历史,10.02835
,49.56667,历史,10.03394
,49.58333,历史,10.03955
,49.6,历史,10.04516
,49.61667,历史,10.05079
,49.63333,历史,10.05642
,49.65,历史,10.06207
,49.66667,历史,10.06773
49.7,49.68333,历史,10.07339
,49.7,历史,10.07907
,49.71667,历史,10.08476
,49.73333,历史,10.09047
,49.75,历史,10.09618
,49.76667,历史,10.1019
,49.78333,历史,10.10763
,49.8,历史,10.11338
,49.81667,历史,10.11914
,49.83333,历史,10.12491
,49.85,历史,10.13069
,49.86667,历史,10.13648
,49.88333,历史,10.14229
,49.9,历史,10.1481
,49.91667,历史,10.15393
,49.93333,历史,10.15977
50.0,49.95,历史,10.16562
,49.96667,历史,10.17149
,49.98333,历史,10.17737
,50.0,历史,10.18326
50.0,50.01667,预测,10.188785
,50.033339999999995,预测,10.19706
,50.05000999999999,预测,10.204266
,50.06667999999999,预测,10.208708
,50.08334999999999,预测,10.219863
,50.10001999999999,预测,10.221994
,50.116689999999984,预测,10.23068
,50.13335999999998,预测,10.233805
,50.15002999999998,预测,10.239922
,50.16669999999998,预测,10.248867
,50.183369999999975,预测,10.255587
,50.20003999999997,预测,10.260302
,50.21670999999997,预测,10.264766
,50.23337999999997,预测,10.270509
,50.250049999999966,预测,10.2757435
,50.266719999999964,预测,10.282601
,50.28338999999996,预测,10.286266
,50.30005999999996,预测,10.293241
,50.31672999999996,预测,10.300667
,50.333399999999955,预测,10.306125
,50.35006999999995,预测,10.312532
,50.36673999999995,预测,10.31788
,50.38340999999995,预测,10.324932
,50.400079999999946,预测,10.332429
,50.416749999999944,预测,10.337345
,50.43341999999994,预测,10.34237
,50.45008999999994,预测,10.343662
,50.46675999999994,预测,10.354053
,50.483429999999935,预测,10.365014
,50.50009999999993,预测,10.368106
,50.51676999999993,预测,10.374232
,50.53343999999993,预测,10.377289
,50.550109999999925,预测,10.382601
,50.56677999999992,预测,10.388257
,50.58344999999992,预测,10.398281
,50.60011999999992,预测,10.403505
,50.61678999999992,预测,10.410807
,50.633459999999914,预测,10.414581
,50.65012999999991,预测,10.421663
,50.66679999999991,预测,10.427723
,50.68346999999991,预测,10.43523
,50.700139999999905,预测,10.437453
,50.7168099999999,预测,10.443094
,50.7334799999999,预测,10.450807
,50.7501499999999,预测,10.455081
,50.766819999999896,预测,10.463541
,50.783489999999894,预测,10.468961
,50.80015999999989,预测,10.4798765
,50.81682999999989,预测,10.480555
,50.83349999999989,预测,10.490217
,50.850169999999885,预测,10.492906
,50.86683999999988,预测,10.500313
,50.88350999999988,预测,10.50497
,50.90017999999988,预测,10.510727
,50.916849999999876,预测,10.518965
,50.933519999999874,预测,10.526674
,50.95018999999987,预测,10.531475
,50.96685999999987,预测,10.535793
,50.98352999999987,预测,10.541289
,51.000199999999865,预测,10.548405
,51.01686999999986,预测,10.553027
,51.03353999999986,预测,10.562911
,51.05020999999986,预测,10.563746
,51.066879999999855,预测,10.576515
,51.08354999999985,预测,10.576794
,51.10021999999985,预测,10.585844
,51.11688999999985,预测,10.592785
,51.13355999999985,预测,10.5977955
,51.150229999999844,预测,10.60688
,51.16689999999984,预测,10.610535
,51.18356999999984,预测,10.619802
,51.20023999999984,预测,10.623174
,51.216909999999835,预测,10.626951
,51.23357999999983,预测,10.637475
,51.25024999999983,预测,10.641799
51.3,51.26691999999983,预测,10.647057
,51.283589999999826,预测,10.650468
,51.300259999999824,预测,10.657931
,51.31692999999982,预测,10.66536
,51.33359999999982,预测,10.670255
,51.35026999999982,预测,10.676436
,51.366939999999815,预测,10.683578
,51.38360999999981,预测,10.691507
,51.40027999999981,预测,10.69645
,51.41694999999981,预测,10.705869
,51.433619999999806,预测,10.706065
,51.450289999999804,预测,10.712345
,51.4669599999998,预测,10.721472
,51.4836299999998,预测,10.72728
,51.5002999999998,预测,10.735325
,51.516969999999795,预测,10.745681
,51.53363999999979,预测,10.74594
,51.55030999999979,预测,10.75194
,51.56697999999979,预测,10.754787
,51.583649999999786,预测,10.760779
,51.60031999999978,预测,10.773846
,51.61698999999978,预测,10.777286
,51.63365999999978,预测,10.784145
,51.65032999999978,预测,10.792194
,51.666999999999774,预测,10.7976
,51.68366999999977,预测,10.809182
,51.70033999999977,预测,10.8124485
,51.71700999999977,预测,10.819474
,51.733679999999765,预测,10.824741
,51.75034999999976,预测,10.8302765
,51.76701999999976,预测,10.840202
,51.78368999999976,预测,10.846399
,51.800359999999756,预测,10.852007
,51.817029999999754,预测,10.855822
,51.83369999999975,预测,10.8638935
,51.85036999999975,预测,10.8671665
,51.86703999999975,预测,10.875234
,51.883709999999745,预测,10.880363
,51.90037999999974,预测,10.887199
,51.91704999999974,预测,10.895092
,51.93371999999974,预测,10.900246
,51.950389999999736,预测,10.907406
,51.967059999999734,预测,10.913467
,51.98372999999973,预测,10.920427
,52.00039999999973,预测,10.928082
,52.01706999999973,预测,10.9331455
,52.033739999999725,预测,10.9393635
,52.05040999999972,预测,10.942173
,52.06707999999972,预测,10.950584
,52.08374999999972,预测,10.961121
,52.100419999999716,预测,10.965847
,52.11708999999971,预测,10.971966
,52.13375999999971,预测,10.9759655
,52.15042999999971,预测,10.981897
,52.16709999999971,预测,10.990006
,52.183769999999704,预测,10.998827
,52.2004399999997,预测,11.00418
,52.2171099999997,预测,11.01182
,52.2337799999997,预测,11.015964
,52.250449999999695,预测,11.023577
,52.26711999999969,预测,11.029756
,52.28378999999969,预测,11.038585
,52.30045999999969,预测,11.041475
,52.317129999999686,预测,11.045353
,52.333799999999684,预测,11.054195
,52.35046999999968,预测,11.059378
,52.36713999999968,预测,11.069289
,52.38380999999968,预测,11.074806
,52.400479999999675,预测,11.084226
,52.41714999999967,预测,11.085643
,52.43381999999967,预测,11.094257
,52.45048999999967,预测,11.100135
,52.467159999999666,预测,11.10669
,52.483829999999664,预测,11.111838
,52.50049999999966,预测,11.118729
52.5,52.51716999999966,预测,11.127457
,52.53383999999966,预测,11.135355
,52.550509999999655,预测,11.139601
,52.56717999999965,预测,11.141527
,52.58384999999965,预测,11.151248
,52.60051999999965,预测,11.158007
,52.617189999999646,预测,11.162389
,52.63385999999964,预测,11.173115
,52.65052999999964,预测,11.17593
,52.66719999999964,预测,11.187943
,52.68386999999964,预测,11.189934
,52.700539999999634,预测,11.199806
,52.71720999999963,预测,11.206411
,52.73387999999963,预测,11.209424
,52.75054999999963,预测,11.221205
,52.767219999999625,预测,11.223724
,52.78388999999962,预测,11.235191
,52.80055999999962,预测,11.236507
,52.81722999999962,预测,11.242287
,52.833899999999616,预测,11.252096
,52.850569999999614,预测,11.257996
,52.86723999999961,预测,11.262909
,52.88390999999961,预测,11.265246
,52.90057999999961,预测,11.274715
,52.917249999999605,预测,11.282616
,52.9339199999996,预测,11.288137
,52.9505899999996,预测,11.293352
,52.9672599999996,预测,11.301454
,52.983929999999596,预测,11.311122
,53.000599999999594,预测,11.3160305
,53.01726999999959,预测,11.326399
,53.03393999999959,预测,11.325077
,53.05060999999959,预测,11.333069
,53.067279999999585,预测,11.340946
,53.08394999999958,预测,11.348085
,53.10061999999958,预测,11.356283
,53.11728999999958,预测,11.365234
,53.133959999999576,预测,11.367706
,53.15062999999957,预测,11.374388
,53.16729999999957,预测,11.378117
,53.18396999999957,预测,11.3845215
,53.20063999999957,预测,11.396982
,53.217309999999564,预测,11.401181
,53.23397999999956,预测,11.408151
,53.25064999999956,预测,11.4166765
,53.26731999999956,预测,11.422496
,53.283989999999555,预测,11.434467
,53.30065999999955,预测,11.438182
,53.31732999999955,预测,11.445243
,53.33399999999955,预测,11.451277
,53.350669999999546,预测,11.456812
,53.367339999999544,预测,11.467356
,53.38400999999954,预测,11.474159
,53.40067999999954,预测,11.479792
,53.41734999999954,预测,11.483883
,53.434019999999535,预测,11.492501
,53.45068999999953,预测,11.495932
,53.46735999999953,预测,11.504272
,53.48402999999953,预测,11.510002
,53.500699999999526,预测,11.516935
,53.517369999999524,预测,11.525561
,53.53403999999952,预测,11.530806
,53.55070999999952,预测,11.538454
,53.56737999999952,预测,11.545022
,53.584049999999515,预测,11.55248
